Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Digitalization,DER,Sunverge Energy,"Sunverge Energy is a US-based startup that develops software and hardware to enable the deployment of distributed energy resources, such as solar panels and energy storage.",,,,,United States of America,English,2009,,"$77,346,814",USD,77346814,,,,,,,,,,,
Decarbonization,Alternative generation,Tokamak Energy,"Tokamak Energy aims to accelerate the development of fusion energy by combining two emerging technologies – spherical tokamaks and high-temperature superconductors. Tokamaks are the most advanced fusion concept in the world, but recent progress has been slow and we need to take an innovative approach to develop fusion faster. Their business model is based on agility and ""open innovation"" – working collaboratively with engineering companies, research laboratories and universities, whilst ensuring that they retain the ownership of crucial intellectual property.",,,www.tokamakenergy.co.uk.,@TokamakEnergy,United Kingdom,English,2009,Early Stage Venture,"£123,055,000",USD,163663150,,,,,,,,,,,
Electrification,EV,Yasa,We design and manufacture high-performance electric motors and controllers for hybrid and pure #electricvehicles,,,,@YASAMotors,United Kingdom,English,2009,,,USD,,,,,,,,,,,,
Clean Energy,Solar Power,BBOXX,Off-grid solar energy systems for underserved regions,"Off-grid, Solar",,bboxx.com,,United Kingdom,English,2010,Acquired (by EDF),,USD,,,,,,,,,,,,
Other,Smart Grid,Bettergy Corp,Energy analytics and monitoring for grid and building optimization,"Smart Grid, Energy Efficiency",,bettergy.net,,Spain,Spanish,2010,Private,,USD,,,,,,,,,,,,
Other,Circular Economy,Black Bear Carbon,Extracts carbon black and oil from end-of-life tires for reuse,"Tire Recycling, Circular Tech",,blackbearcarbon.com,,Netherlands,English,2010,Private,€40M,USD,45000000,,,,,,,,,,,
Other,Ocean Energy,Bluerise,Developed ocean thermal energy conversion (OTEC) tech before being acquired by SBM Offshore,"Ocean Energy, OTEC",,,,Netherlands,English,2010,Acquired,,USD,,,,,,,,,,,,
Other,Battery Repurposing,Connected Energy,Builds energy storage systems from second-life EV batteries,"Battery Reuse, Circular Economy",,c-e-int.com,@Connected_Energ,United Kingdom,English,2010,Private,£10M,USD,13300000,,,,,,,,,,,
Decarbonization,Equipment,Eco Green Co Energy,"A company that designs and installs solar power systems for residential, commercial, and industrial customers.",,,,@Eco_Green_Solar,Saudi Arabia,English,2010,,,USD,,,,,,,,,,,,
Distributed,Buildings,Energetika,"A company that provides energy efficiency and sustainability solutions for buildings and facilities, including lighting, HVAC, and automation systems.",Mexico,,https://www.energetika.com/,@EnergetikaTech,Mexico,English,2010,,,USD,,,,,,,,,,,,
Other,Indoor Air Quality,Enverid,Makes HVAC solutions to improve air quality and reduce energy use in buildings,"Indoor Air Quality, HVAC",,enverid.com,,United States of America,English,2010,Private,$34M,USD,34000000,,,,,,,,,,,
Other,Hydrogen Storage,Ergosup,Hydrogen storage and conversion using reversible liquid carriers,"Hydrogen, Power-to-Gas",,ergosup.com,,France,English,2010,Private,€15M,USD,16875000,,,,,,,,,,,
Electrification,Fast charging,EVBox,"EVBox is a Dutch startup that designs and manufactures EV charging stations and software solutions for managing and optimizing charging infrastructure. The company has installed over 200,000 charging points in more than 70 countries.",,,,@evbox,Netherlands,English,2010,,,USD,,,,,,,,,,,,
Other,Carbon Capture,Global Thermostat,Captures CO₂ from ambient air for industrial use and synthetic fuels,"Direct Air Capture, CO₂ Use",,globalthermostat.com,,United States of America,English,2010,Private,$70M,USD,70000000,,,,,,,,,,,
Other,Plastic Recycling,GreenMantra,Converts post-consumer plastics into specialty waxes and polymers,"Circular Economy, Plastic Recycling",,greenmantra.com,@greenmantrainc,Canada,English,2010,Private,$30M,USD,30000000,,,,,,,,,,,
Other,Renewable Retail,Holaluz,Spain-based green energy retailer providing 100% renewable electricity to homes,"Green Utility, Renewable Retail",Utility,holaluz.com,@holaluz,Spain,Spanish,2010,Public (BME: HLZ),€40M,USD,45000000,2019,,,,,,,,,,
Digitalization,AI,Invenia,"Invenia’s Energy Intelligence System is a cloud-based machine learning platform that uses big, high frequency data to solve complex problems in real time. Invenia currently applies its platform to optimize electric utility operations as well as electricity markets themselves.",Optmization,,https://www.invenia.ca/,,Canada,English,2010,,,USD,,,,,,,,,,,,
Clean Energy,Solar Integration,Isowatt,Develops integrated solar energy and heating systems for buildings and homes,"Solar Heating, PV-T Systems",,isowatt.fr,,France,French,2010,Private,,USD,,,,,,,,,,,,
Clean Energy,Solar Refrigeration,Kingtec Solar,Develops solar-powered refrigeration units for trucks and cold chain applications,"Solar Cooling, Off-grid Refrigeration",,kingtecsolar.com,,China,English,2010,Private,,USD,,,,,,,,,,,,
Other,Bioplastics,Mango Materials,Converts methane into biodegradable biopolymers (PHA) for plastics,"Bioplastics, Methane Utilization",,mangomaterials.com,@MangoMaterials,United States of America,English,2010,Private,$20M+,USD,20000000,,,,,,,,,,,
Decarbonization,Comfort,Nest,Developed the first smart thermostat that made it easier for homeowners to save energy and reduce their electricity bills.,Impact on industry,,home.nest.com,@madebygoogl,United States of America,English,2010,,,USD,,,,,,,,,,,,
Other,Smart Thermostats,Nest Labs,Creator of smart thermostats and home energy automation systems (now Google Nest),"Smart Home, Energy Efficiency",,store.google.com,@googlenest,United States of America,English,2010,Acquired (Google),$3.2B (acquisition),USD,3200000000,,,,,,,,,,,
Other,Tidal Energy,Nova Innovation,Develops tidal turbines and offshore grid systems for predictable clean energy,"Tidal Power, Ocean Tech",,novainnovation.com,@NovaInnovation,United Kingdom,English,2010,Private,£20M,USD,26600000,,,,,,,,,,,
Decarbonization,Alternative generation,NS Materials Inc.,"Develops, manufactures and sells cutting edge quantum dot-based solutions for next-generation displays and image sensors.",,,http://www.ns-materials.com/,,Japan,English,2010,,,USD,,,,,,,,,,,,
Clean Energy,Solar Efficiency,Oxford PV,Develops perovskite-on-silicon tandem solar cells for higher conversion efficiency,"Perovskite, Solar Innovation",,oxfordpv.com,@OxfordPV,United Kingdom,English,2010,Private,£130M+,USD,172900000,,,,,,,,,,,
Other,Heat-to-Compute,Qarnot Computing,Uses computing power as a heat source for buildings — distributed HPC infrastructure,"Distributed Computing, Green Heating",,qarnot.com,@qarnot,France,English,2010,Private,€10M+,USD,11250000,,,,,,,,,,,
Other,Solid-State Batteries,QuantumScape,Developer of solid-state lithium-metal batteries for EVs,"Batteries, EVs, Solid-State Tech",Supplier,quantumscape.com,@QuantumScapeCo,United States of America,English,2010,Public (NYSE: QS),$1B+,USD,1000000000,2020,,,,,,,,,,
Clean Energy,Solar + Storage,RayGen Resources,Develops solar thermal + electrothermal storage systems for utility-scale use,"Solar + Storage, Concentrated Solar",,raygen.com,,Australia,English,2010,Private,AUD $60M+,USD,38640000,,,,,,,,,,,
Digital & AI,Satellite Imaging,Satellogic,Provides high-res earth observation data to monitor environmental and industrial activity,"Satellite, Geospatial Analytics",,satellogic.com,@Satellogic,Argentina,English,2010,Public (NASDAQ: SATL),$250M+,USD,250000000,2022,,,,,,,,,,
Other,Grid Optimization,Smart Wires,Develops power flow control devices for grid modernization and flexibility,"Grid Flexibility, Smart Grids",,smartwires.com,@SmartWiresInc,United States of America,English,2010,Private,$200M+,USD,200000000,,,,,,,,,,,
Other,Water Access,Spring Health,Provides clean drinking water through decentralized purification in rural India,"Water Access, Social Impact",,,,India,English,2010,Private,,USD,,,,,,,,,,,,
Distributed,Comfort,Sunamp,Sunamp is a developer of chemical ‘heat batteries’ that can absorb and store thermal energy when it’s cheaper or cleaner to produce and release it again when it’s needed.,Heat batteries,,https://sunamp.com/,@SunampLtd,United Kingdom,English,2010,Early Stage Venture,"$43,532,068",USD,43532068,,,,,,,,,,,
Other,Green Hydrogen,Sunfire,Develops high-temperature electrolysis and fuel cell systems for hydrogen production,"Solid Oxide Electrolysis, Green Hydrogen",,sunfire.de,@SunfireGmbH,Germany,English,2010,Private,€250M+,USD,281250000,,,,,,,,,,,
Clean Energy,Off-grid Solar,Sunna Design,Designs and installs solar street lighting systems for off-grid and urban areas,"Solar Lighting, Public Infrastructure",,sunnadesign.fr,@SunnaDesign,France,English,2010,Private,€20M+,USD,22500000,,,,,,,,,,,
Electrification,EV,ASF Inc.,"Planning, R&D, Manufacturing and Sales of EVs. ASF Inc. aims to achieve zero-emission logistics by developing EVs using renewable energy.",,,https://www.asf-ev.com/,,Japan,English,2011,,,USD,,,,,,,,,,,,
Other,Energy Management,AutoGrid,"Offers AI-driven solutions for energy management and grid optimization, enhancing the efficiency of energy distribution. LinkedIn","Energy Management, AI",,auto-grid.com,,United States of America,English,2011,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Bidgely,Bidgely is a US-based startup that has developed a software platform for analyzing and optimizing energy usage. The platform uses artificial intelligence and machine learning to provide personalized recommendations for reducing energy consumption and saving money on energy bills.,Digital platforms,,www.bidgely.com,,United States of America,English,2011,,"$82,665,744",USD,82665744,,,,,,,,,,,
Other,Plastic Recycling,Carbios,Develops enzymatic solutions for plastic biodegradation and recycling,"Biotech, Plastic Recycling",,carbios.com,@Carbios,France,English,2011,Public (Euronext),€190M,USD,213750000,2013,,,,,,,,,,
Other,CO₂ Sequestration,CarbonSink,Provides consulting and solutions for carbon sequestration projects,"CO₂ Sequestration, Offsets",,carbonsink.it,,Italy,English,2011,Acquired (by South Pole),,USD,,,,,,,,,,,,
Other,Battery Manufacturing,CATL,"World’s largest EV battery manufacturer, focused on lithium-ion technologies","EV Batteries, Energy Storage",Supplier,catl.com,@catl_official,China,Chinese,2011,Public (SSE),CN¥25.7B,USD,3546600000,2018,,,,,,,,,,
Other,Textile Recycling,Circ (Circular Systems),Uses hydrothermal and mechanical methods to recycle blended textiles,"Textile Recycling, FashionTech",,circ.earth,@Circ_earth,United States of America,English,2011,Private,$50M,USD,50000000,,,,,,,,,,,
Other,Geothermal Heat,Climeon,Extracts low-temperature geothermal energy for power production,"Geothermal, Heat-to-Power",Supplier,climeon.com,@climeon,Sweden,English,2011,Public (Nasdaq First North),SEK 255M,USD,26265000,2017,,,,,,,,,,
Other,Sustainable Computing,Cloud&Heat,Provides server cooling using water-based systems that repurpose waste heat,"Green IT, Waste Heat Recovery",,cloudandheat.com,@CloudandHeat,Germany,English,2011,Private,,USD,,,,,,,,,,,,
Other,Building Efficiency,Ekotrope,SaaS platform for energy code compliance and optimization in building design,"Building Simulation, Energy Code",,ekotrope.com,,United States of America,English,2011,Private,,USD,,,,,,,,,,,,
Decarbonization,Energy efficiency,FLOSFIA Inc.,"Making use of physical properties of gallium oxide (Ga2O3), FLOSFIA has devoted to development of low-loss power devices. FLOSFIA succeeded in a development of a Schottky Barrier Diode (SBD) with the lowest specific on-resistance.",,,https://flosfia.com/english/,,Japan,English,2011,,,USD,,,,,,,,,,,,
Other,Satellite Monitoring,GHGSat,Provides satellite-based methane and CO₂ monitoring for industrial emitters,"Satellite, Methane Detection",,ghgsat.com,@ghgsat,Canada,English,2011,Private,$95M,USD,95000000,,,,,,,,,,,
Other,EV Charging Management,GreenFlux,"Platform for smart charging, billing, and management of EV charging infrastructure","EV Charging, SaaS",,greenflux.com,@GreenFluxEV,Netherlands,English,2011,Acquired (by DKV),,USD,,,,,,,,,,,,
Digitalization,Blockchain,Grid Edge,Grid Edge is a startup that is developing a blockchain-based platform for energy trading and management.,Innovative,,gridedge.ai,,United States of America,English,2011,,"£2,200,000",USD,2926000,,,,,,,,,,,
Other,Thermal Efficiency,Kyotherm,Invests in and manages thermal energy efficiency projects (e.g. heat networks),"Heat Recovery, Thermal Infra",,kyotherm.com,,France,English,2011,Private,€30M,USD,33750000,,,,,,,,,,,
Other,Grid-Scale Storage,Levisys,Develops flywheel energy storage systems for frequency regulation,"Flywheels, Grid Stability",,levisys.com,,France,English,2011,Private,€10M,USD,11250000,,,,,,,,,,,
Other,Electric Trucks & Buses,Lion Electric,Designs and manufactures all-electric buses and trucks for urban transport,"Electric Fleet, Buses, Trucks",Supplier,thelionelectric.com,@LionElectricCo,Canada,English,2011,Public (NYSE: LEV),$400M+,USD,400000000,2021,,,,,,,,,,
Clean Energy,Solar Microfinance,M-KOPA,"Provides pay-as-you-go solar kits, smartphones, and financial products in Africa","Solar Access, Fintech, Microfinance",Utility Partner,m-kopa.com,@mkopasolar,Kenya,English,2011,Private,$250M+,USD,250000000,,,,,,,,,,,
Other,Circular Economy,Nest Bedding,Sells sustainable and recyclable mattresses made with non-toxic materials,"Mattress Recycling, Circular Economy",,nestbedding.com,@NestBedding,United States of America,English,2011,Private,,USD,,,,,,,,,,,,
